,State,population,senate_seats,rep_seats,pop_per_senator,pop_per_rep,total_seats,pop_per_legislator,pres_dem,pres_rep,leg_dem,leg_rep,total_diff,Abbreviation,Latitude,Longitude
0,California,37253956.0,40.0,80.0,931349.0,465674.0,120.0,310450.0,61.73,31.62,0.75,0.25,0.16580000000000006,CA,36.116203000000006,-119.681564
1,Texas,25145561.0,31.0,150.0,811147.0,167637.0,181.0,138926.0,43.24,52.23,0.44198895,0.55801105,0.027444474999999968,TX,31.054486999999998,-97.563461
2,New York,19378102.0,63.0,150.0,307589.0,129187.0,213.0,90977.0,59.01,36.52,0.6854460090000001,0.309859155,0.12301643150000013,NY,42.165726,-74.948051
3,Florida,18801310.0,40.0,120.0,470033.0,156678.0,160.0,117508.0,47.82,49.02,0.4,0.6,0.13309999999999997,FL,27.766278999999997,-81.68678299999999
4,Illinois,12830632.0,59.0,118.0,217468.0,108734.0,177.0,72489.0,55.83,38.76,0.644067797,0.35593220299999995,0.10160169550000006,IL,40.349457,-88.986137
5,Pennsylvania,12702379.0,50.0,203.0,254048.0,62573.0,253.0,50207.0,47.46,48.18,0.450592885,0.545454545,0.05583438750000003,PA,40.590752,-77.209755
6,Ohio,11536504.0,33.0,99.0,349591.0,116530.0,132.0,87398.0,43.56,51.69,0.356060606,0.636363636,0.13927121200000003,OH,40.388783000000004,-82.764915
7,Michigan,9883640.0,38.0,110.0,260096.0,89851.0,148.0,66781.0,47.27,47.5,0.45945945899999996,0.540540541,0.04601081150000008,MI,43.326617999999996,-84.53609499999999
8,Georgia,9687653.0,56.0,180.0,172994.0,53820.0,236.0,41049.0,45.64,50.77,0.406779661,0.5932203389999999,0.09238050849999996,GA,33.040619,-83.643074
9,North Carolina,9535483.0,50.0,120.0,190710.0,79462.0,170.0,56091.0,46.17,49.83,0.44705882399999997,0.5470588239999999,0.03902058800000002,NC,35.630066,-79.80641899999999
10,New Jersey,8791894.0,40.0,80.0,219797.0,109899.0,120.0,73266.0,54.99,41.0,0.625,0.375,0.09259999999999993,NJ,40.298904,-74.521011
11,Virginia,8001024.0,40.0,100.0,200026.0,80010.0,140.0,57150.0,49.73,44.41,0.542857143,0.457142857,0.05207857150000006,VA,37.769337,-78.16996800000001
12,Washington,6724540.0,49.0,98.0,137236.0,68618.0,147.0,45745.0,52.54,36.83,0.585034014,0.414965986,0.08296700700000004,WA,47.400902,-121.490494
13,Massachusetts,6547629.0,40.0,160.0,163691.0,40923.0,200.0,32738.0,60.01,32.81,0.805,0.19,0.2739500000000001,MA,42.230171,-71.530106
14,Indiana,6483802.0,50.0,100.0,129676.0,64838.0,150.0,43225.0,37.91,56.82,0.286666667,0.706666667,0.1616666665,IN,39.849426,-86.258278
15,Arizona,6392017.0,30.0,60.0,213067.0,106534.0,90.0,71022.0,45.13,48.67,0.46666666700000003,0.533333333,0.03868333349999997,AZ,33.729759,-111.431221
16,Tennessee,6346105.0,33.0,99.0,192306.0,64102.0,132.0,48077.0,34.72,60.72,0.234848485,0.757575758,0.18753939400000003,TN,35.747845,-86.69234499999999
17,Missouri,5988927.0,34.0,163.0,176145.0,36742.0,197.0,30401.0,38.14,56.77,0.294416244,0.7005076140000001,0.15338756300000006,MO,38.456084999999995,-92.288368
18,Maryland,5773552.0,47.0,141.0,122842.0,40947.0,188.0,30710.0,60.33,33.91,0.696808511,0.303191489,0.1114627665,MD,39.063946,-76.80210100000001
19,Wisconsin,5686986.0,33.0,99.0,172333.0,57444.0,132.0,43083.0,46.45,47.22,0.378787879,0.621212121,0.16021818150000003,WI,44.268543,-89.616508
20,Minnesota,5303925.0,67.0,134.0,79163.0,39582.0,201.0,26388.0,46.44,44.92,0.5323383079999999,0.467661692,0.07716915399999993,MN,45.694454,-93.900192
21,Colorado,5029196.0,35.0,65.0,143691.0,77372.0,100.0,50292.0,48.16,43.25,0.6,0.4,0.13465,CO,39.059810999999996,-105.311104
